brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
9040.0,for_sale,590000.0,4.0,4.0,2.23,258667.0,Canton,Georgia,30114.0,2546.0,2022-04-29 00:00:00
45821.0,for_sale,245000.0,5.0,3.0,0.06,1385025.0,Pittsburgh,Pennsylvania,15206.0,2032.0,2018-02-15 00:00:00
28613.0,for_sale,524990.0,3.0,3.0,0.1,460962.0,Saint Petersburg,Florida,33713.0,1780.0,N/A
78482.0,for_sale,67000.0,1.0,2.0,0.0,859416.0,West Palm Beach,Florida,33415.0,661.0,2003-05-05 00:00:00
18665.0,for_sale,299500.0,3.0,3.0,0.0,1194335.0,Chandler,Texas,75758.0,1990.0,N/A
38249.0,for_sale,160000.0,1.0,1.0,0.0,498463.0,Hollywood,Florida,33020.0,667.0,2003-04-10 00:00:00
53203.0,for_sale,340000.0,3.0,3.0,0.11,741540.0,Fort Worth,Texas,76111.0,1571.0,N/A
109987.0,for_sale,374500.0,3.0,2.0,4.0,334204.0,Tyler,Texas,75706.0,3432.0,2007-05-14 00:00:00
22151.0,for_sale,212000.0,3.0,2.0,2.5,150886.0,Mattoon,Illinois,61938.0,1296.0,2018-02-05 00:00:00
53434.0,for_sale,449000.0,4.0,2.0,0.32,1330142.0,Altamonte Springs,Florida,32701.0,2241.0,2015-04-06 00:00:00
20330.0,for_sale,270000.0,3.0,2.0,1.88,1735424.0,Stantonsburg,North Carolina,27883.0,2121.0,2019-10-25 00:00:00
79483.0,for_sale,50000.0,3.0,2.0,0.41,78328.0,Moran,Texas,76464.0,2042.0,N/A
12447.0,for_sale,499000.0,4.0,3.0,0.19,1267974.0,Wilmington,North Carolina,28409.0,2524.0,2016-06-20 00:00:00
19091.0,for_sale,780000.0,5.0,6.0,2.03,1000946.0,Schnecksville,Pennsylvania,18078.0,3271.0,N/A
8426.0,for_sale,94000.0,2.0,2.0,0.0,598834.0,Lake Placid,Florida,33852.0,1648.0,2022-06-01 00:00:00
75458.0,for_sale,550000.0,4.0,4.0,3.01,1407447.0,Tiger,Georgia,30576.0,2356.0,2022-04-13 00:00:00
6906.0,for_sale,295000.0,3.0,2.0,0.34,881934.0,Cumming,Georgia,30041.0,1050.0,2020-03-02 00:00:00
65633.0,for_sale,62500.0,3.0,1.0,0.1,747597.0,Syracuse,New York,13207.0,1376.0,2018-05-25 00:00:00
48026.0,for_sale,260000.0,2.0,2.0,0.0,233279.0,Charlotte,North Carolina,28277.0,1085.0,2013-07-12 00:00:00
27680.0,for_sale,383000.0,3.0,2.0,0.58,429680.0,Springhill,Florida,34607.0,1632.0,2018-01-30 00:00:00
17010.0,for_sale,1350000.0,4.0,6.0,1.09,809962.0,Mooresville,North Carolina,28117.0,6208.0,2021-07-30 00:00:00
29307.0,for_sale,80000.0,2.0,1.0,0.0,161332.0,Chicago,Illinois,60626.0,900.0,N/A
41428.0,for_sale,522939.0,3.0,2.0,0.15,1145280.0,Odessa,Florida,33556.0,2108.0,N/A
85397.0,for_sale,169900.0,3.0,2.0,0.23,746424.0,Ocala,Florida,34471.0,1120.0,N/A
